criminal_id,name,age,gender,crime_category,risk_level,face_embedding_id,national_id_number
270435,Person_347,39,Male,Fraud,Critical,8854110,5903404517
301998,Person_461,60,Male,Murder,Medium,5765719,9189346117
275127,Person_406,53,Female,Drug Offense,High,1513899,8691652389
982035,Person_737,42,Female,Fraud,High,9651656,4154904317
127404,Person_826,51,Female,Murder,High,5643927,6905532827
798043,Person_221,55,Male,Murder,Low,2373527,3005112827
348748,Person_305,28,Male,Drug Offense,Critical,8626752,7838902141
569963,Person_173,43,Male,Cybercrime,Critical,8417022,7778462111
938234,Person_662,64,Male,Drug Offense,Medium,2167059,9696282669
768781,Person_564,54,Male,Cybercrime,Low,1586414,4215057738
506491,Person_637,24,Male,Cybercrime,Critical,2713740,2253189034
232765,Person_726,39,Male,Fraud,Medium,1841552,2799668790
754177,Person_857,59,Female,Cybercrime,Critical,2550979,8422834913
680860,Person_589,57,Female,Murder,Critical,1652628,7671693833
893626,Person_870,54,Male,Theft,High,4105696,8255747056
155005,Person_941,18,Male,Fraud,Medium,4550668,2334711646
738687,Person_173,27,Male,Drug Offense,High,2683336,7803322465
359093,Person_733,59,Male,Theft,Critical,6553808,4296184395
852147,Person_452,43,Male,Drug Offense,High,4731488,8515960418
748895,Person_857,37,Male,Theft,Critical,7318158,1498379644
912599,Person_134,39,Female,Drug Offense,Medium,8664110,9794457553
631746,Person_272,24,Male,Cybercrime,Low,6040446,7562823094
848623,Person_804,30,Male,Cybercrime,Medium,4588190,2931822317
403935,Person_217,47,Male,Fraud,Medium,8208583,7281357463
823266,Person_813,45,Female,Drug Offense,High,9315496,5578762168
719052,Person_479,42,Male,Theft,Medium,2207413,3235410371
455168,Person_437,30,Male,Drug Offense,Critical,9283714,5463597109
653836,Person_877,40,Female,Theft,Low,1618567,6045282548
814932,Person_115,54,Female,Cybercrime,Low,8457731,9670430818
459942,Person_487,30,Male,Cybercrime,Medium,2790280,9586006660
668831,Person_932,57,Male,Theft,Low,6295603,3604539043
995663,Person_547,29,Female,Murder,Low,5502295,6971807296
480631,Person_925,19,Male,Cybercrime,High,5894019,6422357470
607053,Person_510,59,Female,Murder,Low,5161736,8397053080
521250,Person_534,49,Male,Theft,Medium,3381541,3330418165
898492,Person_981,22,Male,Murder,Low,7590938,7509845660
164952,Person_864,56,Female,Fraud,Medium,7393975,9998984076
953350,Person_124,31,Female,Fraud,Medium,2204169,6850399967
206244,Person_923,30,Male,Cybercrime,Medium,4187451,9109870939
414467,Person_744,37,Male,Cybercrime,Critical,8614736,5826038821
783154,Person_596,43,Female,Murder,Medium,8942499,9010852999
555562,Person_954,31,Female,Fraud,Critical,3177025,3498471253
364799,Person_653,52,Female,Drug Offense,Low,4023905,4326412033
351445,Person_230,18,Female,Cybercrime,Critical,8378018,9096203618
988534,Person_325,35,Female,Cybercrime,Medium,9884523,1385265154
964019,Person_825,24,Female,Drug Offense,Medium,2926807,2996363277
841236,Person_931,58,Female,Theft,High,5782965,1219485123
849463,Person_919,52,Male,Drug Offense,Medium,7887857,2526243309
558678,Person_646,35,Male,Drug Offense,Critical,8694354,3126871073
904213,Person_111,28,Male,Cybercrime,Medium,5186766,5379086164
638526,Person_297,58,Female,Theft,Low,5597701,7255107400
940023,Person_695,33,Female,Murder,Low,4452797,6228878246
617453,Person_274,33,Female,Murder,Low,2442790,4382652439
710988,Person_318,48,Female,Theft,High,4151175,3555902704
366558,Person_331,21,Female,Theft,Low,8348368,9422608879
254338,Person_936,56,Male,Fraud,Low,3342998,1833590600
161047,Person_898,37,Male,Theft,Low,9806052,3403244050
808811,Person_631,57,Male,Fraud,Critical,2523578,7114825194
713786,Person_331,21,Female,Drug Offense,Medium,4430272,3210638013
442630,Person_138,20,Male,Fraud,High,4507707,1778635047
272705,Person_853,50,Female,Cybercrime,Medium,1885933,3808992982
157237,Person_218,59,Female,Theft,Critical,9092589,9692100061
